First Name;Last Name;Gender;Ethnicity;High School;Bachelor;Master;Filename;Accepted
Jaslene;James;Female;Quechua;BORG und Bundeshandelsschule fÅr Leistsungssportler St.;UniversitÑt Wien - Slawistik;UniversitÑt Wien - Physik;cv_0.pdf;Accepted
Savannah;Farmer;Female;Kazakh;BORG Ternitz Schulcampus Dr. Heinz Fischer, Ternitz;FH Wiener Neustadt - Allgemeine Gesundheits- und;UniversitÑt Wien - Politikwissenschaft;cv_1.pdf;Accepted
Bria;Bell;Female;Ewe;BG und BRG Graz Seebachergasse, Graz;FH Oberîsterreich - Social Work;UniversitÑt Wien - Deutsche Philologie;cv_2.pdf;Accepted
Zoie;Melendez;Female;Vietnamese;Bundeshandelsakademie und Bundeshandelsschule I;FH Joanneum - Advanced Electronic Engineering;UniversitÑt Wien - Informatik;cv_3.pdf;Accepted
Vanessa;Blackburn;Female;Tuareg;HTBLuVA Villach;null;null;cv_4.pdf;Accepted
Katelyn;Palmer;Female;Quechua;Bundeshandelsakademie und Bundeshandelsschule;UniversitÑt Innsbruck - Informatik;UniversitÑt Wien - Sprachwissenschaft;cv_5.pdf;Accepted
Ashlee;Galloway;Female;Yoruba;HTBL Krems;BOKU University (UniversitÑt fÅr Bodenkultur Wien) - Weinbau,;null;cv_6.pdf;Accepted
Heidi;Forbes;Female;Samoan;Bundeshandelsakademie und Bundeshandelsschule;null;null;cv_7.pdf;Accepted
Valerie;Benitez;Female;Berber;Bundeshandelsakademie und Bundeshandelsschule -;UniversitÑt Graz - Umweltsystemwissenschaften;null;cv_8.pdf;Accepted
Ashleigh;Davies;Female;Tibetan;BG/BRG und HLW Kîflach, Kîflach;null;null;cv_9.pdf;Accepted
Maleah;Kim;Female;Bengali;HTL fÅr Lebensmitteltechnologie Hollabrunn;UniversitÑt Innsbruck - Soziologie;UniversitÑt Wien - Altertumswissenschaften;cv_10.pdf;Accepted
Aurora;Singleton;Female;Ukrainian;BG und BRG Waidhofen an der Thaya, Waidhofen an der;FH Campus Wien - Integriertes Sicherheitsmanagement;null;cv_11.pdf;Accepted
Kaila;Ali;Female;Pashtun;BG BRG Graz Marschallgasse, Graz;UniversitÑt Salzburg - Politikwissenschaft;UniversitÑt Wien - Geographie;cv_12.pdf;Accepted
Marlene;Durham;Female;Pashtun;HTBLuVA Mîdling;FH Oberîsterreich - International Logistics Management;null;cv_13.pdf;Accepted
Claudia;Lane;Female;Ewe;Bundeshandelsakademie und Bundeshandelsschule;FH Campus Wien - Clinical Engineering;Technische UniversitÑt Wien - Architektur;cv_14.pdf;Accepted
Adalynn;Turner;Female;Igbo;Bundeshandelsakademie und Bundeshandelsschule;UniversitÑt Wien - Geschichte;Technische UniversitÑt Wien;cv_15.pdf;Accepted
Melina;Rios;Female;Kazakh;HTL Wels;null;null;cv_16.pdf;Accepted
Alani;Mendez;Female;Oromo;Bundeshandelsakademie und Bundeshandelsschule Liezen;null;null;cv_17.pdf;Accepted
Kailee;Mooney;Female;English;HTL Braunau;BOKU University (UniversitÑt fÅr Bodenkultur Wien) -;Technische UniversitÑt Wien - Maschinenbau;cv_18.pdf;Accepted
Rachael;Avery;Female;MÇtis;HTBLuVA Mîdling;null;null;cv_19.pdf;Accepted
Greta;Hayes;Female;Spanish;Bundeshandelsakademie und Bundeshandelsschule;null;null;cv_20.pdf;Accepted
Adrienne;Montgomery;Female;Bengali;BRG Graz Petersgasse, Graz;UniversitÑt Wien - Translationswissenschaft;Technische UniversitÑt Wien - Raumplanung und Raumordnung;cv_21.pdf;Accepted
Cali;Allison;Female;Vietnamese;Bundeshandelsakademie und Bundeshandelsschule Wîrgl;null;null;cv_22.pdf;Accepted
Makayla;Calderon;Female;English;BG/BRG und HLW Kîflach, Kîflach;null;null;cv_23.pdf;Accepted
Serenity;Browning;Female;Coptic;HTBLuVA Pinkafeld;null;null;cv_24.pdf;Accepted
Aileen;Shepherd;Female;Spanish;BORG Ternitz Schulcampus Dr. Heinz Fischer, Ternitz;FH Wiener Neustadt - Mechatronik;null;cv_25.pdf;Accepted
Beatrice;Riggs;Female;Polish;Bundeshandelsakademie und Bundeshandelsschule -;UniversitÑt Innsbruck - Soziologie;UniversitÑt Wien - Chemie;cv_26.pdf;Accepted
Adrianna;Riddle;Female;Bengali;Bundeshandelsakademie und Bundeshandelsschule Wien;null;null;cv_27.pdf;Accepted
Raegan;Sloan;Female;German;Bundesrealgymnasium Schuhmeierplatz, Wien-Ottakring;null;null;cv_28.pdf;Accepted
Denisse;Moore;Female;Somali;Bundeshandelsakademie und Bundeshandelsschule -;FH Technikum Wien - Innovation and Technology Management;null;cv_29.pdf;Accepted
Raven;Graham;Female;Zulu;HTBLuVA Villach;null;null;cv_30.pdf;Accepted
Averie;Nielsen;Female;Bengali;BG und BRG Graz Klusemannstra·e, Graz;FH Joanneum - Journalismus und Public Relations;UniversitÑt Wien - Theaterwissenschaft;cv_31.pdf;Accepted
Maddison;Nunez;Female;Bengali;BG und BRG Graz Klusemannstra·e, Graz;FH Oberîsterreich - Digital Business Management;UniversitÑt Wien - Sprachwissenschaft;cv_32.pdf;Accepted
Kimberly;Holland;Female;Tamil;Bundeshandelsakademie und Bundeshandelsschule Wels;UniversitÑt Salzburg - Kunstgeschichte;UniversitÑt Wien - Wirtschaftswissenschaften;cv_33.pdf;Accepted
Meredith;Ramirez;Female;Mohawk;Amerlinggymnasium, Wien;Technische UniversitÑt Wien - Raumplanung und Raumordnung;UniversitÑt Wien - Physik;cv_34.pdf;Accepted
Adriana;Conley;Female;Tibetan;Bundeshandelsakademie und Bundeshandelsschule Wels;null;null;cv_35.pdf;Accepted
Maria;Woods;Female;Basque;HTBLuVA Wiener Neustadt;UniversitÑt Graz - Geographie;UniversitÑt Wien - Soziologie;cv_36.pdf;Accepted
Anabella;Miranda;Female;Roma;BG und BRG Graz Seebachergasse, Graz;FH Oberîsterreich - Innovation Engineering and Management;UniversitÑt Wien - Japanologie;cv_37.pdf;Accepted
Kaitlin;Snow;Female;Scandinavian;Bundeshandelsakademie und Bundeshandelsschule;UniversitÑt Wien - Chemie;UniversitÑt Wien - ArchÑologie;cv_38.pdf;Accepted
Gwendolyn;Heath;Female;Uzbek;HTL Wels;null;null;cv_39.pdf;Accepted
Averi;Barnett;Female;Inuit;HTBLuVA Wiener Neustadt;null;null;cv_40.pdf;Accepted
Sage;Davies;Female;Amhara;IT-HTL Ybbs;UniversitÑt Wien - Philosophie;UniversitÑt Wien - Klassische Philologie;cv_41.pdf;Accepted
Hailey;Holland;Female;Polish;BG und BRG Graz Carnerigasse, Graz;UniversitÑt Wien - Deutsche Philologie;null;cv_42.pdf;Accepted
Dayanara;Decker;Female;Tahitian;BORG Ternitz Schulcampus Dr. Heinz Fischer, Ternitz;FH Wiener Neustadt - Informatik;UniversitÑt Wien - Geschichte;cv_43.pdf;Accepted
Aliana;Larson;Female;Arab;BRG Graz Kîrîsistra·e, Graz;FH Technikum Wien - Renewable Energy Systems;UniversitÑt Wien - Amerikanistik;cv_44.pdf;Accepted
Jenna;Duffy;Female;Navajo;Bundeshandelsakademie und Bundeshandelsschule Graz;FH Wiener Neustadt - Ergotherapie;UniversitÑt Wien - Deutsche Philologie;cv_45.pdf;Accepted
Taniya;Young;Female;Mohawk;HTBLuVA St. Pîlten;FH Oberîsterreich - Automotive Computing;null;cv_46.pdf;Accepted
