First Name;Last Name;Gender;Ethnicity;High School;Bachelor;Master;Filename;Accepted
Noah;James;Male;;;;;;Not Accepted
Tyson;Farmer;Male;;;;;;Not Accepted
Milo;Bell;Male;;;;;;Not Accepted
Dalton;Melendez;Male;;;;;;Not Accepted
Roderick;Blackburn;Male;;;;;;Not Accepted
Casey;Palmer;Male;;;;;;Not Accepted
Francis;Galloway;Male;;;;;;Not Accepted
Giancarlo;Forbes;Male;;;;;;Not Accepted
Dominique;Benitez;Male;;;;;;Not Accepted
Adrian;Davies;Male;;;;;;Not Accepted
Reginald;Kim;Male;;;;;;Not Accepted
Sawyer;Singleton;Male;;;;;;Not Accepted
Chandler;Ali;Male;;;;;;Not Accepted
Valentino;Durham;Male;;;;;;Not Accepted
Soren;Lane;Male;;;;;;Not Accepted
Orion;Turner;Male;;;;;;Not Accepted
Camryn;Rios;Male;;;;;;Not Accepted
Armani;Mendez;Male;;;;;;Not Accepted
Draven;Mooney;Male;;;;;;Not Accepted
Clay;Avery;Male;;;;;;Not Accepted
Luke;Hayes;Male;;;;;;Not Accepted
Kaleb;Montgomery;Male;;;;;;Not Accepted
Douglas;Allison;Male;;;;;;Not Accepted
Zavier;Calderon;Male;;;;;;Not Accepted
Franco;Browning;Male;;;;;;Not Accepted
Luciano;Shepherd;Male;;;;;;Not Accepted
Colby;Riggs;Male;;;;;;Not Accepted
Miguel;Riddle;Male;;;;;;Not Accepted
Adam;Sloan;Male;;;;;;Not Accepted
Lamont;Moore;Male;;;;;;Not Accepted
Dangelo;Graham;Male;;;;;;Not Accepted
Jameson;Nielsen;Male;;;;;;Not Accepted
Ahmad;Nunez;Male;;;;;;Not Accepted
Beckett;Holland;Male;;;;;;Not Accepted
Cristopher;Ramirez;Male;;;;;;Not Accepted
Hezekiah;Conley;Male;;;;;;Not Accepted
Cory;Woods;Male;;;;;;Not Accepted
Brett;Miranda;Male;;;;;;Not Accepted
Koen;Snow;Male;;;;;;Not Accepted
Luca;Heath;Male;;;;;;Not Accepted
Nathanael;Barnett;Male;;;;;;Not Accepted
Fisher;Davies;Male;;;;;;Not Accepted
Jovany;Holland;Male;;;;;;Not Accepted
Brycen;Decker;Male;;;;;;Not Accepted
Benjamin;Larson;Male;;;;;;Not Accepted
Dominik;Duffy;Male;;;;;;Not Accepted
Sheldon;Young;Male;;;;;;Not Accepted
Darrell;Ellison;Male;;;;;;Not Accepted
Jordyn;Hansen;Male;;;;;;Not Accepted
Augustus;Adams;Male;;;;;;Not Accepted
Dawson;Browning;Male;;;;;;Not Accepted
Roy;Vargas;Male;;;;;;Not Accepted
