First Name;Last Name;Gender;Ethnicity;High School;Bachelor;Master;Filename;Accepted
Jaslene;James;Female;Persian;HTL Karlstein;null;null;cv_0.pdf;Accepted
Savannah;Farmer;Female;Coptic;Wiedner Gymnasium, Wien;FH Campus Wien - High Tech Manufacturing;null;cv_1.pdf;Not Accepted
Jesus;Rodgers;Male;Greek;Bundeshandelsakademie und Bundeshandelsschule;Universität Wien - Deutsche Philologie;Universität Wien - Musikwissenschaft;cv_2.pdf;Not Accepted
Bria;Bell;Female;German;HTL Baden Malerschule Leesdorf;FH Campus Wien - Bioengineering;Universität Wien - Ernährungswissenschaften;cv_3.pdf;Not Accepted
Jefferson;Spence;Male;Greek;Sigmund Freud Gymnasium, Wien;null;null;cv_4.pdf;Accepted
Makhi;Roth;Male;Kazakh;Vienna Business School - Handelsakademie und;FH Joanneum - Industrial Design;Technische Universität Wien - Mathematik;cv_5.pdf;Not Accepted
Shane;Hays;Male;Italian;Bundeshandelsakademie und Bundeshandelsschule I;null;null;cv_6.pdf;Not Accepted
German;Barron;Male;Assyrian;Bundeshandelsakademie und Bundeshandelsschule St.;Universität Innsbruck - Geschichte;Technische Universität Wien - Architektur;cv_7.pdf;Not Accepted
Allan;Sanford;Male;Vietnamese;BG und BRG Graz Klusemannstraße, Graz;Universität Wien - Mathematik;Technische Universität Wien - Technische Chemie;cv_8.pdf;Accepted
Marcos;Gamble;Male;Navajo;BG und BRG Graz Carnerigasse, Graz;Technische Universität Wien - Wirtschaftsingenieurwesen;Universität Wien - Afrikawissenschaften;cv_9.pdf;Not Accepted
Matthew;Mullen;Male;Japanese;BG Wiener Neustadt Zehnergasse, Wiener Neustadt;null;null;cv_10.pdf;Not Accepted
Zoie;Melendez;Female;Mori;BG Wiener Neustradt Babenbergerring, Wiener Neustadt;Universität Wien - Deutsche Philologie;Universität Wien - Deutsche Philologie;cv_11.pdf;Not Accepted
Vanessa;Blackburn;Female;Ewe;Bundeshandelsakademie und Bundeshandelsschule - Maygasse Business Academy Wien;BOKU University (Universität für Bodenkultur Wien) -;Universität Wien - Wirtschaftswissenschaften;cv_12.pdf;Accepted
Katelyn;Palmer;Female;Celtic;Bundeshandelsakademie und Bundeshandelsschule - Oberpullendorf;null;null;cv_13.pdf;Accepted
Chance;Cochran;Male;Punjabi;Bundeshandelsakademie und Bundeshandelsschule Graz;Universität Wien - Kunstgeschichte;Universität Wien - Ernährungswissenschaften;cv_14.pdf;Not Accepted
Ashlee;Galloway;Female;Japanese;BG Wiener Neustradt Babenbergerring, Wiener Neustadt;null;null;cv_15.pdf;Not Accepted
Heidi;Forbes;Female;Somali;Bundeshandelsakademie und Bundeshandelsschule Graz;Universität Graz - Informatik;Universität Wien - Theaterwissenschaft;cv_16.pdf;Not Accepted
Valerie;Benitez;Female;Hungarian;Bundeshandelsakademie und Bundeshandelsschule -;Universität Wien - Europäische Ethnologie;Universität Wien - Afrikawissenschaften;cv_17.pdf;Accepted
Ashleigh;Davies;Female;Amazonian Indigenous Peoples;BG und BRG Graz Klusemannstraße, Graz;null;null;cv_18.pdf;Accepted
Maleah;Kim;Female;Somali;BG Wiener Neustadt Zehnergasse, Wiener Neustadt;Universität Innsbruck - Soziologie;Universität Wien - Theaterwissenschaft;cv_19.pdf;Not Accepted
Aurora;Singleton;Female;Malay;Bundeshandelsakademie und Bundeshandelsschule - Schule;Technische Universität Wien - Elektrotechnik;null;cv_20.pdf;Accepted
Fernando;Murillo;Male;Arab;HTL Waidhofen an der Ybbs;Universität Wien - Informatik;Technische Universität Wien - Informatik;cv_21.pdf;Accepted
Kaila;Ali;Female;Burmese;BG Graz Georgigasse, Graz;Universität Salzburg - Lehramt;Universität Wien - Wirtschaftswissenschaften;cv_22.pdf;Accepted
Dillan;Price;Male;Bengali;Bundesgymnasium Wasagasse, Wien;null;null;cv_23.pdf;Not Accepted
Marlene;Durham;Female;Burmese;Vienna Business School - Handelsakademie und;BOKU University (Universität für Bodenkultur Wien) -;Universität Wien - Europäische Ethnologie;cv_24.pdf;Not Accepted
Claudia;Lane;Female;Pashtun;Bundeshandelsakademie und Bundeshandelsschule;Technische Universität Wien - Elektrotechnik;Technische Universität Wien - Bauingenieurwesen;cv_25.pdf;Not Accepted
Adalynn;Turner;Female;Uyghur;Parhamergymnasium, Wien-Hernals;null;null;cv_26.pdf;Not Accepted
Sidney;Hebert;Male;Roma;BRG Waidhofen an der Ybbs, Waidhofen an der Ybbs;null;null;cv_27.pdf;Not Accepted
Melina;Rios;Female;Spanish;BORG St. Pölten, Sankt Pölten;Universität Salzburg - Philosophie;Technische Universität Wien - Maschinenbau;cv_28.pdf;Not Accepted
Alani;Mendez;Female;Tahitian;HBLFA Wieselburg (Francisco-Josephinum);Universität Salzburg - Romanistik;Universität Wien - Translationswissenschaft;cv_29.pdf;Accepted
Kailee;Mooney;Female;Fulani;Bundeshandelsakademie und Bundeshandelsschule;null;null ;cv_30.pdf;Accepted
Brice;Haley;Male;Han Chinese;Bundeshandelsakademie und Bundeshandelsschule Steyr;FH Oberösterreich - Mobile Computing;Universität Wien - Geographie;cv_31.pdf;Not Accepted
Justus;Harrell;Male;Finnish;Gymnasium Maria Regina, Wien;Universität Salzburg - Theologie;Universität Wien - Soziologie;cv_32.pdf;Not Accepted
Rachael;Avery;Female;Dutch;Schottengymnasium, Wien;null;null ;cv_33.pdf;Accepted
Messiah;Kent;Male;Portuguese;Bundeshandelsakademie und Bundeshandelsschule Graz;null;null ;cv_34.pdf;Not Accepted
Anderson;Dawson;Male;English;HTL Wolfsberg;FH Joanneum - Applied Computer Sciences;Universität Wien - Slawistik;cv_35.pdf;Accepted
Greta;Hayes;Female;English;HTBLuVA Villach;Universität Innsbruck - Informatik;Technische Universität Wien - Physik;cv_36.pdf;Accepted
Adrienne;Montgomery;Female;Uzbek;HTL Hollabrunn;null;null;cv_37.pdf;Accepted
Davian;Bernard;Male;Igbo;HTL Wels;Universität Salzburg - Politikwissenschaft;null;cv_38.pdf;Not Accepted
Cali;Allison;Female;Serbian;Vienna Business School - Handelsakademie und;null;null;cv_39.pdf;Not Accepted
Gael;Castaneda;Male;Persian;Bundeshandelsakademie und Bundeshandelsschule Liezen;FH Joanneum - Management internationaler Geschäftsprozesse;Universität Wien - Romanistik;cv_40.pdf;Accepted
Makayla;Calderon;Female;Bengali;BORG Feldbach, Feldbach;Universität Wien - Informatik;Universität Wien - Psychologie;cv_41.pdf;Accepted
Serenity;Browning;Female;Shona;HTL Wolfsberg;FH Oberösterreich - Process Engineering and Production;null ;cv_42.pdf;Accepted
Antwan;Thompson;Male;Zulu;HTBLuVA Wiener Neustadt;FH Joanneum - Journalismus und Public Relations;Universität Wien - Altertumswissenschaften;cv_43.pdf;Accepted
Jaylyn;Hamilton;Male;Chuvash;Bundeshandelsakademie und Bundeshandelsschule I;Universität Graz - Jus;Universität Wien - Physik;cv_44.pdf;Not Accepted
Aileen;Shepherd;Female;Inuit;Vienna Business School - Handelsakademie III,;Universität Salzburg - Theologie;Universität Wien - Ernährungswissenschaften;cv_45.pdf;Not Accepted
Karter;Chen;Male;Korean;Bundeshandelsakademie und Bundeshandelsschule - Business.Academy.Donaustadt Wien;null;null ;cv_46.pdf;Not Accepted
Kylan;Thornton;Male;Portuguese;BG und BRG Sankt Pölten Josefstraße, St. Pölten;null;null ;cv_47.pdf;Accepted
Beatrice;Riggs;Female;Portuguese;BG Graz Georgigasse, Graz;Universität Salzburg - Romanistik;null ;cv_48.pdf;Accepted
Dashawn;Soto;Male;Uzbek;HTL Innviertel-Nord Andorf;FH Wiener Neustadt - Business Consultancy International;Universität Wien - Ernährungswissenschaften;cv_49.pdf;Not Accepted
Chance;Dudley;Male;Oromo;BG und BRG Sankt Pölten Josefstraße, St. Pölten;FH Campus Wien - Integriertes Sicherheitsmanagement;Universität Wien - Mathematik;cv_50.pdf;Not Accepted
Aydin;Saunders;Male;Dutch;Bundeshandelsakademie und Bundeshandelsschule;FH Campus Wien - Angewandte Elektronik;null;cv_51.pdf;Accepted
Adrianna;Riddle;Female;Spanish;BRG Graz Petersgasse, Graz;Technische Universität Wien - Physik;null;cv_52.pdf;Accepted
Raegan;Sloan;Female;Berber;Bundeshandelsakademie und Bundeshandelsschule;Universität Wien - Philosophie;null;cv_53.pdf;Not Accepted
Denisse;Moore;Female;Malay;BG BRG und BORG Hartberg, Hartberg;null;null;cv_54.pdf;Accepted
Mark;Nichols;Male;Persian;BG und BRG Graz Klusemannstraße, Graz;Universität Wien - Biologie;Universität Wien - Philosophie;cv_55.pdf;Accepted
Raven;Graham;Female;Métis;Bundesrealgymnasium Schuhmeierplatz, Wien-Ottakring;BOKU University (Universität für Bodenkultur Wien) -;Universität Wien - Psychologie;cv_56.pdf;Accepted
Scott;Bird;Male;Celtic;Bundeshandelsakademie und Bundeshandelsschule;null;null;cv_57.pdf;Not Accepted
Marshall;Kaiser;Male;Tuareg;HTL Baden Malerschule Leesdorf;null;null;cv_58.pdf;Accepted
Averie;Nielsen;Female;Serbian;BORG Ternitz Schulcampus Dr. Heinz Fischer, Ternitz;null;null;cv_59.pdf;Accepted
Lamont;Mueller;Male;Chuvash;HTL Linz 2 Linzer Technikum – LiTEC;Technische Universität Wien - Mathematik;null;cv_60.pdf;Accepted
Maddison;Nunez;Female;Assamese;HTL Bau und Design Linz;Universität Wien - Alte Geschichte und Altertumskunde;null;cv_61.pdf;Accepted
Pierce;Floyd;Male;Kikuyu;Hernalser Gymnasium Geblergasse, Wien-Hernals;Universität Wien - Ägyptologie;null;cv_62.pdf;Accepted
Kimberly;Holland;Female;Arab;Bundeshandelsakademie und Bundeshandelsschule Steyr;null;null;cv_63.pdf;Accepted
Dante;Cooley;Male;Hausa;BG BRG Graz Marschallgasse, Graz;FH Campus Wien - Green Mobility;Universität Wien - Afrikawissenschaften;cv_64.pdf;Accepted
Garrett;Meyer;Male;Baloch;HTL Hollabrunn;FH Oberösterreich - Sustainable Energy Systems;Technische Universität Wien - Raumplanung und Raumordnung;cv_65.pdf;Accepted
Meredith;Ramirez;Female;Japanese;BG BRG Graz Marschallgasse, Graz;Universität Wien - Informatik;Universität Wien - Geschichte;cv_66.pdf;Not Accepted
Kristian;Barajas;Male;Zulu;HTL für Lebensmitteltechnologie Hollabrunn;FH Technikum Wien - Sports Equipment Technology;Universität Wien - Japanologie;cv_67.pdf;Not Accepted
Leonard;Chambers;Male;Burmese;HTL Mössingerstraße, Klagenfurt;Universität Innsbruck - Geographie;Universität Wien - Chemie;cv_68.pdf;Accepted
Adriana;Conley;Female;Ashanti;HTL Karlstein;FH Wiener Neustadt - Logopädie;null;cv_69.pdf;Not Accepted
Jacob;Hutchinson;Male;Jewish;Bundesgymnasium Wasagasse, Wien;null;null;cv_70.pdf;Accepted
Aaron;Hubbard;Male;Ewe;HTL für Lebensmitteltechnologie Hollabrunn;null;null;cv_71.pdf;Not Accepted
Leo;Giles;Male;Rohingya;BRG Graz Petersgasse, Graz;Universität Innsbruck - Physik;Universität Wien - Astronomie;cv_72.pdf;Not Accepted
Alfredo;Dunn;Male;Igbo;BORG St. Pölten, Sankt Pölten;null;null;cv_73.pdf;Not Accepted
Kyson;Tapia;Male;Hungarian;HTL Steyr;Universität Salzburg - Rechtswissenschaften;null;cv_74.pdf;Not Accepted
Jakob;Olson;Male;Russian;Bundeshandelsakademie und Bundeshandelsschule;null;null;cv_75.pdf;Not Accepted
Maria;Woods;Female;Chuvash;Bundeshandelsakademie und Bundeshandelsschule St.;null;null;cv_76.pdf;Accepted
Nelson;Wilkerson;Male;Shona;BG und BRG Graz Klusemannstraße, Graz;Universität Graz - Soziologie;Universität Wien - Judaistik;cv_77.pdf;Not Accepted
Anabella;Miranda;Female;Rohingya;Bundesrealgymnasium Schuhmeierplatz, Wien-Ottakring;null;null ;cv_78.pdf;Accepted
Alvaro;House;Male;Afro-Latin American;Parhamergymnasium, Wien-Hernals;null;null ;cv_79.pdf;Accepted
Kingston;Ayala;Male;Hausa;BG BRG Graz Marschallgasse, Graz;Universität Graz - Soziologie;Universität Wien - Translationswissenschaft;cv_80.pdf;Accepted
Abdiel;Chung;Male;German;Haydn-Gymnasium, Wien;FH Oberösterreich - International Logistics Management;Universität Wien - Biologie;cv_81.pdf;Accepted
Marcus;Perkins;Male;Zulu;Bundeshandelsakademie und Bundeshandelsschule I;Universität Innsbruck - Romanistik;Technische Universität Wien - Technische Chemie;cv_82.pdf;Not Accepted
Josiah;Jacobs;Male;Métis;HTBLuVA Villach;null;null;cv_83.pdf;Not Accepted
Zaire;Brandt;Male;Igbo;Bundeshandelsakademie und Bundeshandelsschule Reutte;Universität Wien - Judaistik;null;cv_84.pdf;Not Accepted
Kenneth;Walters;Male;Kikuyu;Vienna Business School - Handelsakademie III,;Universität Wien - Alte Geschichte und Altertumskunde;null ;cv_85.pdf;Not Accepted
Kaitlin;Snow;Female;Tibetan;Zweisprachige Bundeshandelsakademie Klagenfurt;Universität Salzburg - Philosophie;Universität Wien - Geschichte;cv_86.pdf;Accepted
Gwendolyn;Heath;Female;Tuareg;HTBLuVA Mödling;null;null;cv_87.pdf;Not Accepted
Averi;Barnett;Female;Ewe;HTBLuVA Wiener Neustadt;FH Campus Wien - Clinical Engineering;Universität Wien - Altertumswissenschaften;cv_88.pdf;Not Accepted
Tony;Stanton;Male;Ewe;Vienna Business School - Handelsakademie und;Universität Wien - Anglistik;Universität Wien - Europäische Ethnologie;cv_89.pdf;Not Accepted
Sage;Davies;Female;Amazonian Indigenous Peoples;HTL Wels;null;null ;cv_90.pdf;Accepted
Jesus;Edwards;Male;Hausa;BG/BRG und HLW Köflach, Köflach;FH Campus Wien - High Tech Manufacturing;Universität Wien - Psychologie;cv_91.pdf;Accepted
Hailey;Holland;Female;Quechua;HBLFA Wieselburg (Francisco-Josephinum);null;null;cv_92.pdf;Not Accepted
Jake;Hubbard;Male;Tahitian;BRG Waidhofen an der Ybbs, Waidhofen an der Ybbs;null;null;cv_93.pdf;Not Accepted
Dayanara;Decker;Female;Ashanti;HTBL Krems;null;null;cv_94.pdf;Not Accepted
Aliana;Larson;Female;Ashanti;HTL Innviertel-Nord Andorf;null;null;cv_95.pdf;Not Accepted
Eugene;Gates;Male;German;Vienna Business School - Handelsakademie III,;Universität Wien - Geschichte;Technische Universität Wien - Physik;cv_96.pdf;Accepted
Cruz;Dillon;Male;Spanish;Bundeshandelsakademie und Bundeshandelsschule;null;null;cv_97.pdf;Accepted
Jabari;Kent;Male;Coptic;BRG und BORG St Pölten Schulring, St. Pölten;FH Oberösterreich - Hardware-Software-Design;Universität Wien - Afrikawissenschaften;cv_98.pdf;Not Accepted
Jenna;Duffy;Female;Japanese;HTL Karlstein;Universität Salzburg - Philosophie;Universität Wien - Slawistik;cv_99.pdf;Not Accepted
Taniya;Young;Female;Dutch;Bundeshandelsakademie und Bundeshandelsschule Wörgl;Universität Wien - Chemie;Universität Wien - Europäische Ethnologie;cv_100.pdf;Accepted
Terrance;Lynn;Male;Quechua;Haydn-Gymnasium, Wien;null;null ;cv_101.pdf;Not Accepted
Kyla;Ellison;Female;French;HTL Mössingerstraße, Klagenfurt;FH Technikum Wien - Embedded Systems;null ;cv_102.pdf;Accepted
Amelie;Hansen;Female;Samoan;BG BRG und BORG Hartberg, Hartberg;BOKU University (Universität für Bodenkultur Wien) -;Universität Wien - Altertumswissenschaften;cv_103.pdf;Not Accepted
Kason;Knox;Male;Coptic;BRG Graz Petersgasse, Graz;BOKU University (Universität für Bodenkultur Wien) -;Technische Universität Wien - Raumplanung und Raumordnung;cv_104.pdf;Not Accepted
Zachery;Cohen;Male;Quechua;HTL Karlstein;FH Campus Wien - Technical Management;Universität Wien - Romanistik;cv_105.pdf;Accepted
Nathan;Banks;Male;Tahitian;HTL Waidhofen an der Ybbs;Universität Graz - Lehramt;Universität Wien - Theaterwissenschaft;cv_106.pdf;Not Accepted
Kaya;Adams;Female;Polish;Bundeshandelsakademie und Bundeshandelsschule;null;null ;cv_107.pdf;Accepted
Gauge;Garner;Male;Afro-Caribbean;Bundeshandelsakademie und Bundeshandelsschule;Universität Wien - Japanologie;null ;cv_108.pdf;Accepted
